File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
E:\GIT\CompilerDesign\\bin\compiler\lexer\TokenType.class,T_OP_EQUAL(,1,1,1,0,0,0,0,0,
E:\GIT\CompilerDesign\\Input\3_SYNTAX_ERROR.txt,emptyFunc(),1,1,1,0,0,0,0,0,
E:\GIT\CompilerDesign\\Input\4_SYNTAX_VALID.txt,nullFunc(),1,1,1,0,0,0,0,0,
E:\GIT\CompilerDesign\\Input\4_SYNTAX_VALID.txt,retFoo(),108,76,69,24,17,2,15,78,
E:\GIT\CompilerDesign\\logs\moon\moon.c,initmem(),9,9,8,1,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,outofrange(long addr),6,6,5,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,misaligned(long addr),6,6,5,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,fetch(),16,16,14,5,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,getmemword(long addr),13,13,10,4,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"putmemword(long addr, long data)",15,15,13,2,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,getmembyte(long addr),13,13,10,4,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"putmembyte(long addr, BYTE byt)",12,12,10,2,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"putmeminstr(long addr, wordtype word, char cont)",8,8,6,1,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"putmemchar(long addr, short byte, char cont)",4,4,4,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,fetchreg(unsigned short regnum),6,6,5,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"storereg(unsigned short regnum, long data)",5,5,3,2,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"showfmta(long addr, wordtype word)",37,31,9,4,3,0,3,12,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"showfmtb(long addr, wordtype word)",63,51,15,7,6,0,6,23,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"wordtochars(char *buf, wordtype word)",10,10,8,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,showword(long addr),23,23,16,6,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,findsymbol(char *name),21,20,17,5,0,0,1,7,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"defsymbol(char *name, long val)",4,4,4,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"usesymbol(char *name, long addr)",10,10,9,1,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,getsymbolval(char *name),8,8,6,4,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,showsymbols(),19,19,16,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,checksymbols(),15,15,12,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,storesymbols(),21,21,15,6,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,runtimeerror(char *message),3,3,3,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,execinstr(short tracing),346,255,158,59,46,1,45,281,
E:\GIT\CompilerDesign\\logs\moon\moon.c,dump(long addr),11,11,8,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,showreg(short regnum),6,6,5,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,traceinstr(),21,21,14,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,runfor(long steps),8,8,6,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,getoperand(char *cp),24,24,17,8,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,showtraceusage(),22,22,22,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,exectrace(),138,119,75,37,10,0,9,89,
E:\GIT\CompilerDesign\\logs\moon\moon.c,exec(),7,7,6,1,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,syntaxerror(char *message),10,10,9,1,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,issymchar(char c),2,2,2,1,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,isreg(char *p),20,20,14,8,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,next(),86,80,63,12,0,0,6,26,
E:\GIT\CompilerDesign\\logs\moon\moon.c,match(enum tokentype kind),19,19,13,6,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,getop(),8,8,7,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,getreg(),8,8,7,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,getlong(long addr),13,13,11,4,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,getint(long addr),6,6,5,3,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,readline(),232,196,128,33,18,0,18,92,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"load(FILE *inp, FILE *out, short listing)",15,15,11,4,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,showusage(),24,24,24,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.c,"main(int argc, char *argv[])",188,151,109,36,15,7,22,219,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 60,60)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 60,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 60,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(120,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(160,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(200,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(240,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(380,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 60,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(120,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(160,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(200,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(240,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(380,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 30,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 90,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(140,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(180,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(220,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 60,20)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 60, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 60, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(120, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(160, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(200, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(220, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(380, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 60,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(120,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(160,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(200,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(220,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(380,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 30,10)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put( 90,10)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(140,10)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(180,10)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moon.tex,"\put(300,10)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 60,60)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 60,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 60,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(120,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(160,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(200,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(240,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(380,40)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 60,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(120,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(160,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(200,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(240,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(380,65)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 30,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 90,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(140,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(180,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(220,50)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 60,20)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 60, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 60, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(120, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(160, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(200, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(220, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(380, 0)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 60,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(120,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(160,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(200,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(220,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(380,25)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 30,10)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put( 90,10)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(140,10)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(180,10)",1,1,2,0,0,0,0,0,
E:\GIT\CompilerDesign\\logs\moon\moondoc.tex,"\put(300,10)",1,1,2,0,0,0,0,0,
